time,signal,drowsiness,delta,theta,alpha,beta
19:44:59,15,0,22,5,2,40
19:45:00,15,7,7,12,10,36
19:45:01,15,0,7,3,5,23
19:45:01,15,0,10,3,4,38
19:45:02,15,0,31,5,5,36
19:45:02,15,0,14,3,14,49
19:45:03,15,0,11,4,4,40
19:45:04,15,0,6,1,3,41
19:45:04,15,0,6,2,11,40
19:45:05,15,0,7,5,4,50
19:45:06,15,0,10,3,7,38
19:45:06,15,0,23,5,9,31
19:45:07,15,0,9,2,16,44
19:45:07,15,0,23,4,6,40
19:45:08,15,1,15,8,3,31
19:45:09,15,0,11,4,2,29
19:45:09,15,2,8,2,15,23
19:45:10,15,1,17,5,11,30
19:45:11,15,0,20,2,6,35
19:45:11,15,0,8,5,6,43
19:45:12,15,0,12,2,5,46
19:45:13,15,0,10,4,2,44
19:45:13,15,0,9,3,3,36
19:45:14,15,0,4,5,12,34
19:45:14,15,0,21,2,12,39
19:45:15,15,0,12,1,4,41
19:45:16,15,4,12,9,7,31
19:45:16,15,0,6,1,9,36
19:45:17,15,3,14,7,3,25
19:45:18,15,0,6,5,7,39
19:45:18,15,1,10,3,6,18
19:45:19,15,0,12,3,15,44
19:45:20,15,0,15,3,9,32
19:45:20,15,0,12,2,4,44
19:45:21,15,0,8,3,14,37
19:45:21,15,0,10,2,7,33
19:45:22,15,0,9,1,2,39
19:45:23,15,0,7,5,3,27
19:45:23,15,0,18,10,6,45
19:45:24,15,0,28,3,2,24
19:45:25,15,0,13,4,4,36
19:45:25,15,4,13,10,7,35
19:45:26,15,0,9,3,4,32
19:45:26,15,0,5,2,16,34
19:45:27,15,4,16,8,9,31
19:45:28,15,0,33,3,10,34
19:45:28,15,0,20,6,5,32
19:45:29,15,0,19,4,2,34
19:45:30,15,0,16,1,2,40
19:45:30,15,0,7,1,7,20
19:45:31,15,1,7,2,8,16
19:45:31,15,0,27,3,5,32
19:45:32,15,0,27,2,11,29
19:45:33,15,1,13,8,7,38
19:45:33,15,0,7,2,8,43
19:45:34,15,0,12,3,7,31
