timestamp,channel,sample_idx,value_uv
23:05:05.924,0013,9,963.775
23:05:05.924,0013,10,-547.675
23:05:05.924,0013,11,-138.225
23:05:05.980,0013,0,-958.55
23:05:05.980,0013,1,522.975
23:05:05.980,0013,2,763.8
23:05:05.980,0013,3,-972.325
23:05:05.980,0013,4,-971.375
23:05:05.980,0013,5,-380.0
23:05:05.980,0013,6,-7.125
23:05:05.980,0013,7,-716.3
23:05:05.980,0013,8,874.0
23:05:05.980,0013,9,791.825
23:05:05.980,0013,10,92.15
23:05:05.980,0013,11,546.25
23:05:06.011,0013,0,-958.55
23:05:06.011,0013,1,522.975
23:05:06.011,0013,2,763.8
23:05:06.011,0013,3,-972.325
23:05:06.011,0013,4,-970.425
23:05:06.011,0013,5,-552.9
23:05:06.011,0013,6,-54.625
23:05:06.011,0013,7,256.025
23:05:06.011,0013,8,-455.05
23:05:06.011,0013,9,-936.225
23:05:06.011,0013,10,-727.7
23:05:06.011,0013,11,-592.8
23:05:06.124,0013,0,-958.55
23:05:06.124,0013,1,644.575
23:05:06.124,0013,2,763.8
23:05:06.124,0013,3,-972.325
23:05:06.124,0013,4,-971.375
23:05:06.124,0013,5,-379.05
23:05:06.124,0013,6,2.85
23:05:06.124,0013,7,-729.125
23:05:06.124,0013,8,752.4
23:05:06.124,0013,9,943.825
23:05:06.124,0013,10,145.35
23:05:06.124,0013,11,494.475
23:05:06.128,0013,0,-958.55
23:05:06.128,0013,1,644.575
23:05:06.128,0013,2,763.8
23:05:06.128,0013,3,-972.325
23:05:06.128,0013,4,-972.325
23:05:06.128,0013,5,-762.85
23:05:06.128,0013,6,253.175
23:05:06.128,0013,7,-970.425
23:05:06.128,0013,8,-620.35
23:05:06.128,0013,9,-741.0
23:05:06.128,0013,10,-304.475
23:05:06.128,0013,11,-292.125
23:05:06.230,0013,0,-958.55
23:05:06.230,0013,1,644.575
23:05:06.230,0013,2,763.8
23:05:06.230,0013,3,-972.325
23:05:06.230,0013,4,-971.375
23:05:06.230,0013,5,-378.1
23:05:06.230,0013,6,-124.45
23:05:06.230,0013,7,492.575
23:05:06.230,0013,8,706.8
23:05:06.230,0013,9,852.625
23:05:06.230,0013,10,107.35
23:05:06.230,0013,11,494.95
23:05:06.236,0013,0,-958.55
23:05:06.236,0013,1,644.575
23:05:06.236,0013,2,763.8
23:05:06.236,0013,3,-972.325
23:05:06.236,0013,4,-972.325
23:05:06.236,0013,5,-760.0
23:05:06.236,0013,6,-885.4
23:05:06.236,0013,7,-963.3
23:05:06.236,0013,8,769.975
23:05:06.236,0013,9,888.25
23:05:06.236,0013,10,-911.525
23:05:06.236,0013,11,299.25
23:05:06.352,0013,0,-958.55
23:05:06.352,0013,1,644.575
23:05:06.352,0013,2,763.8
23:05:06.352,0013,3,-972.325
23:05:06.352,0013,4,-972.325
23:05:06.352,0013,5,-756.675
23:05:06.352,0013,6,9.025
23:05:06.352,0013,7,-955.225
23:05:06.352,0013,8,853.575
23:05:06.352,0013,9,934.8
23:05:06.352,0013,10,-670.7
23:05:06.352,0013,11,382.375
23:05:06.355,0013,0,-958.55
23:05:06.355,0013,1,766.175
23:05:06.355,0013,2,763.8
23:05:06.355,0013,3,-972.325
23:05:06.355,0013,4,-972.325
23:05:06.355,0013,5,-755.725
23:05:06.355,0013,6,481.175
23:05:06.355,0013,7,121.6
23:05:06.355,0013,8,-641.25
23:05:06.355,0013,9,-936.7
23:05:06.355,0013,10,-60.325
23:05:06.355,0013,11,918.65
23:05:06.486,0013,0,-958.55
23:05:06.486,0013,1,766.175
23:05:06.486,0013,2,763.8
23:05:06.486,0013,3,-972.325
23:05:06.486,0013,4,-972.325
23:05:06.486,0013,5,-752.875
23:05:06.486,0013,6,696.35
23:05:06.486,0013,7,-114.95
23:05:06.486,0013,8,-134.425
23:05:06.486,0013,9,867.35
23:05:06.486,0013,10,-668.8
23:05:06.486,0013,11,-221.35
23:05:06.490,0013,0,-958.55
23:05:06.490,0013,1,766.175
23:05:06.490,0013,2,763.8
23:05:06.490,0013,3,-972.325
23:05:06.490,0013,4,-972.325
23:05:06.490,0013,5,-752.4
23:05:06.490,0013,6,29.45
23:05:06.490,0013,7,372.875
23:05:06.490,0013,8,186.675
23:05:06.490,0013,9,931.95
23:05:06.490,0013,10,545.775
23:05:06.490,0013,11,705.375
23:05:06.605,0013,0,-958.55
23:05:06.605,0013,1,766.175
23:05:06.605,0013,2,763.8
23:05:06.605,0013,3,-972.325
23:05:06.605,0013,4,-970.425
23:05:06.605,0013,5,-551.475
23:05:06.605,0013,6,923.875
23:05:06.605,0013,7,380.95
23:05:06.605,0013,8,-447.45
23:05:06.605,0013,9,-936.7
23:05:06.605,0013,10,-727.7
23:05:06.605,0013,11,-471.2
23:05:06.636,0013,0,-958.55
23:05:06.636,0013,1,766.175
23:05:06.636,0013,2,763.8
23:05:06.636,0013,3,-972.325
23:05:06.636,0013,4,-972.325
23:05:06.636,0013,5,-748.6
23:05:06.636,0013,6,245.575
23:05:06.636,0013,7,17.1
23:05:06.636,0013,8,809.875
23:05:06.636,0013,9,838.85
23:05:06.636,0013,10,53.2
23:05:06.636,0013,11,-610.85
23:05:06.721,0013,0,-958.55
23:05:06.721,0013,1,887.775
23:05:06.721,0013,2,763.8
23:05:06.721,0013,3,-972.325
23:05:06.721,0013,4,-972.325
23:05:06.721,0013,5,-745.275
23:05:06.721,0013,6,-341.525
23:05:06.721,0013,7,-602.3
23:05:06.721,0013,8,310.65
23:05:06.721,0013,9,-937.175
23:05:06.721,0013,10,-303.525
23:05:06.721,0013,11,-202.35
23:05:06.755,0013,0,-958.55
23:05:06.755,0013,1,887.775
23:05:06.755,0013,2,763.8
23:05:06.755,0013,3,-972.325
23:05:06.755,0013,4,-972.325
23:05:06.755,0013,5,-744.8
23:05:06.755,0013,6,-639.825
23:05:06.755,0013,7,-845.025
23:05:06.755,0013,8,-396.15
23:05:06.755,0013,9,-937.65
23:05:06.755,0013,10,183.35
23:05:06.755,0013,11,-648.85
23:05:06.826,0013,0,-958.55
23:05:06.826,0013,1,887.775
23:05:06.826,0013,2,763.8
23:05:06.826,0013,3,-972.325
23:05:06.826,0013,4,-972.325
23:05:06.826,0013,5,-742.425
23:05:06.826,0013,6,833.625
23:05:06.826,0013,7,498.275
23:05:06.826,0013,8,849.775
23:05:06.826,0013,9,894.425
23:05:06.826,0013,10,669.75
23:05:06.826,0013,11,-776.15
23:05:06.858,0013,0,-958.55
23:05:06.858,0013,1,887.775
23:05:06.858,0013,2,763.8
23:05:06.858,0013,3,-972.325
23:05:06.858,0013,4,-970.9
23:05:06.858,0013,5,-57.475
23:05:06.858,0013,6,304.475
23:05:06.858,0013,7,-224.675
23:05:06.858,0013,8,-303.525
23:05:06.858,0013,9,-800.375
23:05:06.858,0013,10,961.875
23:05:06.858,0013,11,-822.225
23:05:06.951,0013,0,-958.075
23:05:06.951,0013,1,-936.225
23:05:06.951,0013,2,763.8
23:05:06.951,0013,3,-972.325
23:05:06.951,0013,4,-972.325
23:05:06.951,0013,5,-738.625
23:05:06.951,0013,6,-792.775
23:05:06.951,0013,7,245.1
23:05:06.951,0013,8,-613.225
23:05:06.951,0013,9,875.9
23:05:06.951,0013,10,-425.125
23:05:06.951,0013,11,128.25
23:05:06.985,0013,0,-958.075
23:05:06.985,0013,1,-936.225
23:05:06.985,0013,2,763.8
23:05:06.985,0013,3,-972.325
23:05:06.985,0013,4,-970.9
23:05:06.985,0013,5,-56.525
23:05:06.985,0013,6,-505.4
23:05:06.985,0013,7,129.2
23:05:06.985,0013,8,-136.325
23:05:06.985,0013,9,-759.05
23:05:06.985,0013,10,958.075
23:05:06.985,0013,11,151.05
23:05:07.014,0013,0,-958.075
23:05:07.014,0013,1,-936.225
23:05:07.014,0013,2,763.8
23:05:07.014,0013,3,-972.325
23:05:07.014,0013,4,-972.325
23:05:07.014,0013,5,-735.775
23:05:07.014,0013,6,-287.375
23:05:07.014,0013,7,494.95
23:05:07.014,0013,8,125.875
23:05:07.014,0013,9,760.0
23:05:07.014,0013,10,790.875
23:05:07.014,0013,11,-194.75
23:05:07.118,0013,0,-958.075
23:05:07.118,0013,1,-936.225
23:05:07.118,0013,2,763.8
23:05:07.118,0013,3,-972.325
23:05:07.118,0013,4,-970.9
23:05:07.118,0013,5,-56.05
23:05:07.118,0013,6,-571.425
23:05:07.118,0013,7,863.075
23:05:07.118,0013,8,-660.725
23:05:07.118,0013,9,-769.975
23:05:07.118,0013,10,959.025
23:05:07.118,0013,11,636.975
23:05:07.122,0013,0,-958.075
23:05:07.122,0013,1,-936.225
23:05:07.122,0013,2,763.8
23:05:07.122,0013,3,-972.325
23:05:07.122,0013,4,-972.325
23:05:07.122,0013,5,-731.975
23:05:07.122,0013,6,-714.4
23:05:07.122,0013,7,139.65
23:05:07.122,0013,8,521.55
23:05:07.122,0013,9,-804.175
23:05:07.122,0013,10,61.75
23:05:07.122,0013,11,361.95
23:05:07.235,0013,0,-958.075
23:05:07.235,0013,1,-814.625
23:05:07.235,0013,2,763.8
23:05:07.235,0013,3,-972.325
23:05:07.235,0013,4,-970.9
23:05:07.235,0013,5,-55.1
23:05:07.235,0013,6,184.775
23:05:07.235,0013,7,-971.375
23:05:07.235,0013,8,-52.725
23:05:07.235,0013,9,-752.875
23:05:07.235,0013,10,963.3
23:05:07.235,0013,11,880.175
23:05:07.239,0013,0,-958.075
23:05:07.239,0013,1,-814.625
23:05:07.239,0013,2,763.8
23:05:07.239,0013,3,-972.325
23:05:07.239,0013,4,-972.325
23:05:07.239,0013,5,-850.725
23:05:07.239,0013,6,-109.725
23:05:07.239,0013,7,-481.65
23:05:07.239,0013,8,-79.325
23:05:07.239,0013,9,863.075
23:05:07.239,0013,10,-912.0
23:05:07.239,0013,11,863.55
23:05:07.374,0013,0,-958.075
23:05:07.374,0013,1,-814.625
23:05:07.374,0013,2,763.8
23:05:07.374,0013,3,-972.325
23:05:07.374,0013,4,-970.9
23:05:07.374,0013,5,-54.15
23:05:07.374,0013,6,856.425
23:05:07.374,0013,7,9.975
23:05:07.374,0013,8,-683.525
23:05:07.374,0013,9,-765.225
23:05:07.374,0013,10,964.25
23:05:07.374,0013,11,-92.625
23:05:07.379,0013,0,-958.075
23:05:07.379,0013,1,-814.625
23:05:07.379,0013,2,763.8
23:05:07.379,0013,3,-972.325
23:05:07.379,0013,4,-972.325
23:05:07.379,0013,5,-846.925
23:05:07.379,0013,6,-544.35
23:05:07.379,0013,7,-836.95
23:05:07.379,0013,8,291.65
23:05:07.379,0013,9,-927.2
23:05:07.379,0013,10,-303.05
23:05:07.379,0013,11,474.05
23:05:07.477,0013,0,-958.075
23:05:07.477,0013,1,-814.625
23:05:07.477,0013,2,763.8
23:05:07.477,0013,3,-972.325
23:05:07.477,0013,4,-971.375
